批次编号,反应釜当前状态,所属子状态,健康度评估,当前工况,基准文本
P-02001,SOP,SPRODUCT,SA=0.953,工况良好,"批次生产正常，反应釜工艺参数平稳，未见异常。按SOP执行检查，确认底搅拌AGM203无异响。"
P-02002,SOP,SPRODUCT,SA=0.941,工况良好,"该批次工况良好，反应釜温度保持在75度左右，执行检查，设备运行平稳。"
P-02003,SOP,SPRODUCT,SA=0.958,工况良好,"生产顺利，3000L反应釜压力读数0.004稳定。中心搅拌AGM201工作正常，执行日常检查。"
P-02004,SOP,SPRODUCT,SA=0.902,工况良好,"工况处于良好范围，流量维持在14.4，对框搅拌AGM202进行检查。"
P-02005,SOP,SPRODUCT,SA=0.928,工况良好,"指标正常，健康度0.928。维持当前状态，完成检查。"
P-02006,SOP,SPRODUCT,SA=0.971,工况良好,"反应釜平稳运行，更新门二阶导数平稳，无报警。"
P-02007,SDOWN,SEQPADJ,SA=0.582,停机预警,"监测到工艺参数异常波动，SA降至0.582触发预警。需对反应釜温度控制模块进行维护。"
P-02008,SDOWN,SEQPADJ,SA=0.551,停机预警,"流量特征残差增加至0.22，健康度报警。依据SOP预案，需对进料阀门与框搅拌AGM202进行维护。"
P-02009,SDOWN,SEQPADJ,SA=0.516,停机预警,"工艺MSE提高到0.36，存在异常。SOP要求维护人员维护底搅拌AGM203。"
P-02010,SDOWN,SEQPADJ,SA=0.502,停机预警,"特征指标退化，潜在故障。对3000L反应釜的释放阀进行维护与校验。"
